NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,PEDI_ICU_BEDS,BED_UTILIZATION,Potential_Increase_In_Bed_Capac,AVG_VENTILATOR_USAGE,cases,deaths
165,164,7,7,0,1.05309767,1,3,14081,756
231,134,10,10,6,0.51870781,97,8,13513,868
,,,,,,,,1154,0
56,56,10,10,0,0.11780822,0,2,4281,68
88,88,12,12,0,0.37867373,0,2,1374,0
,,,,,,,,804,75
,,,,,,,,792,0
,,,,,,,,6054,134
282,245,34,34,0,0.45776907,37,8,20128,482
,,,,,,,,6655,755
25,25,4,4,0,0.39035615,0,1,2098,41
,,,,,,,,3616,281
25,25,4,4,0,0.47517809,0,2,14574,1139
,,,,,,,,81780,485
333,296,28,28,0,3.97926501,37,11,5677,0
2731,2810,155,155,112,6.704405368,-79,37,34723,764
111,102,10,10,0,1.030458133,9,4,1789,0
247,247,26,26,0,1.296251537,0,5,8976,406
,,,,,,,,192,4
1351,1240,97,97,110,3.16549239,111,24,61104,1414
,,,,,,,,260,0
205,137,20,20,16,0.58518147,68,4,2040,22
21,21,4,4,0,0.24474886,0,1,,
19,19,3,3,0,0.19134824,0,1,443,0
153,131,6,6,0,1.33361179,22,2,744,0
25,25,4,4,0,0.35495889,0,1,41578,408
25,25,4,4,0,0.40701368,0,2,410,0
420,254,74,74,26,0.93396449,166,9,3192,9
20,20,3,3,0,0.13780822,0,0,,
14,14,2,2,0,0.051076323,0,0,,
,,,,,,,,84,0
343,293,41,41,12,1.28204607,50,9,21959,464
25,25,4,4,0,0.16142465,0,1,171,0
25,25,6,6,0,0.45304111,0,2,3907,84
83,78,4,4,0,0.2599166,5,2,,
,,,,,,,,173,0
25,21,4,4,0,0.38317025,4,1,2321,123
20,20,3,3,0,0.32041097,0,0,304,0
,,,,,,,,240,0
16,13,2,2,0,0.17702845,3,0,1165,0
18,16,3,3,0,0.45941782,2,2,2271,8
41,40,7,7,0,0.54363472,1,1,251,0
,,,,,,,,565,0
25,18,4,4,0,0.35906881,7,1,8671,162
434,401,76,76,14,2.27540984,33,12,5709,5
25,25,3,3,0,0.49205479,0,2,438,0
18,18,3,3,0,0.17686453,0,1,67,0
,,,,,,,,2164,0
69,67,4,4,14,0.27070129,2,2,1419,0
25,16,3,3,0,0.33869863,9,1,2897,0
145,110,9,9,0,0.34895205,35,4,5268,1264
11,11,2,2,0,0.32627645,0,0,,
,,,,,,,,668,0
,,,,,,,,1557,124
10,10,2,2,0,0.14438356,0,0,349,0
25,21,4,4,0,0.39577717,4,0,,
13,13,2,2,0,0.12434141,0,1,813,0
224,186,30,30,18,0.51470256,38,4,23074,1210
,,,,,,,,3,0
25,23,4,4,0,0.322054797,2,1,195,0
25,19,3,3,0,0.13237202,6,1,1885,0
