STATE,COUNTY,NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,PEDI_ICU_BEDS,BED_UTILIZATION,Potential_Increase_In_Bed_Capac,AVG_VENTILATOR_USAGE,cases,deaths
Alabama,Greene,20,20,4,4,0,0.24164383,0,0,5951,217
Alabama,Hale,39,28,5,5,0,0.26086107,11,0,8797,419
Alabama,Henry,,,,,,,,,4021,96
Alabama,Houston,790,666,72,72,22,2.9727025,124,18,12637,296
Alabama,Jackson,170,92,10,10,0,0.62826902,78,2,5608,189
Alabama,Jefferson,4768,3816,393,393,264,8.20493615,952,92,117335,5583
Alabama,Lamar,,,,,,,,,1628,3
Alabama,Lauderdale,263,233,36,36,0,0.55744457,30,6,9368,223
Alabama,Lawrence,98,43,6,6,0,0.15132208,55,2,2691,0
Alabama,Lee,314,299,20,20,0,0.68810189,15,10,38336,2140
Alabama,Limestone,102,97,18,18,0,0.97110433,5,6,7590,0
Alabama,Lowndes,,,,,,,,,12963,562
Alabama,Macon,143,143,0,0,0,0,0,0,4968,231
Alabama,Madison,1241,1240,99,99,49,2.66017896,1,24,26417,341
Alabama,Marengo,99,37,5,5,0,0.36645687,62,2,8797,384
Alabama,Marion,120,97,8,8,0,0.39378822,23,3,8043,656
Alabama,Marshall,150,150,20,20,0,0.43511954,0,7,42005,554
Alabama,Mobile,1930,1524,246,246,118,4.45541669,406,31,129499,6582
Alabama,Monroe,94,49,8,8,0,0.11646631,45,2,3288,119
Alabama,Montgomery,1204,1018,86,86,65,3.20801986,186,20,92223,2237
Alabama,Morgan,273,222,23,23,0,0.49895102,51,3,17714,55
Alabama,Perry,,,,,,,,,2372,0
Alabama,Pickens,,,,,,,,,6490,233
Alabama,Pike,97,97,9,9,0,0.18395707,0,2,11394,38
Alabama,Randolph,15,15,3,3,0,0.22389211,0,1,7790,468
Alabama,Russell,128,105,10,10,0,1.34441051,23,4,10329,0
Alabama,Shelby,286,246,32,32,0,1.18756151,40,6,34711,1205
Alabama,St. Clair,40,40,6,6,0,0.58636987,0,2,8272,68
Alabama,Sumter,33,33,6,6,0,0.45330012,0,0,11057,386
Alabama,Talladega,290,225,14,14,0,0.46663904,65,4,7274,221
Alabama,Tallapoosa,127,80,14,14,0,0.555457799,47,2,26315,3330
Alabama,Tuscaloosa,1099,900,57,57,51,3.04953975,199,33,43925,786
Alabama,Walker,267,207,12,12,0,0.29285949,60,4,20059,142
Alabama,Washington,25,15,3,3,0,0.43178082,10,1,4175,296
Alabama,Wilcox,30,21,4,4,0,0.065753423,9,0,8769,348
Alabama,Winston,49,49,4,4,0,0.29197651,0,2,4369,17
Alaska,Aleutians East Borough,,,,,,,,,24,0
Alaska,Aleutians West Census Area,,,,,,,,,73,0
Alaska,Anchorage,1152,973,109,109,76,3.02660119,179,21,18094,360
Alaska,Bethel,50,34,6,6,0,0.39991942,16,1,,
Alaska,Bethel Census Area,,,,,,,,,182,0
Alaska,Bristol Bay Borough,,,,,,,,,66,0
Alaska,Dillingham,16,16,3,3,0,0.1484589,0,1,,
Alaska,Dillingham Census Area,,,,,,,,,37,0
Alaska,Fairbanks North Star,175,145,13,13,0,0.39546373,30,2,,
Alaska,Fairbanks North Star Borough,,,,,,,,,7209,155
Alaska,Haines Borough,,,,,,,,,26,0
Alaska,Juneau,73,45,9,9,0,0.36596653,28,2,,
Alaska,Juneau City and Borough,,,,,,,,,2413,0
Alaska,Kenai Peninsula,77,76,11,11,0,1.21807847,1,3,,
Alaska,Kenai Peninsula Borough,,,,,,,,,3620,49
Alaska,Ketchikan Gateway,25,25,4,4,0,0.38246575,0,2,,
Alaska,Ketchikan Gateway Borough,,,,,,,,,1519,0
